Formazioni Campionato - Giornata 30;;;;;;;;;;
In verde i fantavoti che portano punteggio alla squadra;;;;;;;;;;
;;;;;;;;;;
OFF;;;;;1-2;PFP;;;;
"Dd;Dc";De Winter;;5,5;5,5;;"Ds;Dc";Ranieri L.;;6;6
Dc;Circati;;5,5;5,5;;Dc;Buongiorno;;6;6
Dc;Luperto;;6,5;6,5;;Dc;Vitik;;5,5;5,5
E;Zappacosta;;7;10;;"Ds;E";Gutierrez;;6,5;6,5
C;Fagioli;;6,5;6,5;;"C;T";Rabiot;;7;10
"M;C";McKennie;;5,5;5,5;;"M;C";Calhanoglu;;6;6
"W;A";Strefezza;;5;5;;"Ds;E";Spinazzola;;6;6
A;Yildiz;;7;10;;"T;A";Paz N.;;7;10
T;Vlasic;;7;10;;T;De Bruyne;;6;6
Pc;Davis K.;;7;9,5;;Pc;Douvikas;;7;10
Panchina;;;;;;Panchina;;;;
Pc;Scamacca;;-;-;;Por;Gollini;;-;-
A;Raspadori;;5,5;5,5;;Pc;Colombo;;6;5,5
"W;A";Orsolini;;5;2;;Pc;Vlahovic;;6,5;6,5
"C;T";Brescianini;;5,5;5;;"C;T";Frattesi;;6;6
E;Bernasconi;;6;6;;"C;T";Folorunsho;;6;6
"Ds;E";Kamara H.;;6;5,5;;"M;C";Keita M.;;5,5;5,5
Pc;Vitinha O.;;5;5;;Dc;Comuzzo;;-;-
"B;Ds;E";Cabal;;-;-;;Dc;Marianucci;;-;-
Dc;Maripan;;-;-;;"Ds;E";Olivera;;5,5;5
"Dd;Dc";Kossounou;;-;-;;"Dd;E";Ehizibue;;6;6
"B;Dd;E";Calabresi;;-;-;;"Ds;E";Pezzella Giu.;;6,5;6
Por;Di Gregorio;;-;-;;"Ds;Dc";Juan Jesus;;-;-
Modificatore difesa;;;;1;;Modificatore difesa;;;;1
TOTALE: 80,50;;;;;;TOTALE: 80,00;;;;
Inserita via app il 20-03-2026 17:40:09;;;;;;Inserita via app il 20-03-2026 14:58:43;;;;
;;;;;;;;;;
HORTO MUSO FC;;;;;2-1;SQUADRADABBATTERE;;;;
4231;;;;;;3421;;;;
Por;Carnesecchi;;6,5;7,5;;Por;Falcone;;6;5
"Ds;E";Miranda J.;;5,5;5,5;;Dc;Bastoni;;-;-
Dc;Ramon;;-;-;;Dc;Bremer;;5,5;5
Dc;Mancini;;6;6;;"Ds;Dc";Kelly L.;;6;6
"Dd;E";Vojvoda;;-;-;;"Ds;E";Valeri;;5,5;5,5
C;Modric;;6,5;6,5;;"C;T";Thorsby;;-;-
"M;C";Frendrup;;6;6;;"M;C";Zambo Anguissa;;6;6
"T;A";Maldini;;5,5;5,5;;"C;W;T";Da Cunha;;6,5;6,5
T;Baturina;;7;10;;"T;A";Gudmundsson A.;;6;6
"W;A";Boga;;5,5;5,5;;"T;A";Zaniolo;;6,5;7
Pc;Vaz;;7;10;;Pc;Castro S.;;5;4,5
Panchina;;;;;;Panchina;;;;
Por;Sportiello;;-;-;;Pc;Lukaku;;-;-
Pc;Vardy;;6,5;7,5;;Pc;Dallinga;;5,5;5,5
Pc;Simeone;;7;10;;"C;T";Taylor K.;;8;13,5
C;Atta;;5,5;5,5;;W;El Shaarawy;;-;-
"C;W";Ellertsson;;5,5;5,5;;"M;C";Mazzitelli;;-;-
"W;T";Vandeputte;;7;10;;"M;C";Ndour;;7;9,5
"M;C";Lobotka;;6;5,5;;"Ds;E";Martin;;-;-
"Dd;E";Norton-Cuffy;;5,5;5,5;;"B;Ds;E";Kolasinac;;6,5;6,5
"Dd;Ds;E";Terracciano F.;;6;6;;Dc;Idzes;;5,5;5,5
"Ds;E";Angori;;5;4,5;;"Dd;Dc";Walukiewicz;;5,5;5,5
Dc;Diego Carlos;;6,5;6,5;;A;Pedro;;6;6
Dc;Ismajli;;5,5;5,5;;Por;Caprile;;6,5;5,5
Modificatore difesa;;;;1;;TOTALE: 71,50;;;;
TOTALE: 75,50;;;;;;Inserita via app il 20-03-2026 12:20:21;;;;
Inserita via app il 20-03-2026 13:19:40;;;;;;;;;;
